ID_Neu;Rezept_ID;Kategorie;EntityType;Name;Lateinischer Name/Typ;Region-Tags;Parent/Überbegriff;Stufe;Mix_Typ;Band-Refs;Priorität (1–5);Notizen;Preparation_Notes;Chemische Gruppe;Ingredient_List;Ingredient_Unit;Total_Weight;Cost_Estimate;Variant_Refs;Rezept_Version;Source_Type;Yield_Info;Author_Note;SensorikProfil;PhysikalischeForm;Has_Variants;Regulatorik;CITES;Cross-Refs;Illu_Path;Illu_Pfad;Has_Illu;Illu-PlH;Has_QR;QR-PlH;CITES/Regulatory;Datasheet-Status
GE_000001;;Gewürze;Stoff;Ajowan;Trachyspermum ammi;"Indien; Nahost";;1;;B12;3;thymolhaltig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/ajowan.png;;0;;0;;;Todo
GE_000002;;Gewürze;Stoff;Aleppo-Chili;Capsicum annuum (Halaby);Türkei/Syrien;;1;;B6;3;mild, fruchtig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/aleppo-chili.png;;0;;0;;;Todo
GE_000003;;Gewürze;Stoff;Alligatorpfeffer;Aframomum danielli;Westafrika;;1;;B4/B9;2;pfeffrig-kraut;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/alligatorpfeffer.png;;0;;0;;lebensmittelstandard;Todo
GE_000004;;Gewürze;Stoff;Amchoor (Mango-Pulver);Mangifera indica (Pulpa, getrocknet);Indien;;1;;B9;3;säuerlich-fruchtig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/amchoor-mango-pulver.png;;0;;0;;lebensmittelstandard;Todo
GE_000005;;Gewürze;Stoff;Ancho Chili;Capsicum annuum (Ancho);Mexiko;;1;;B6;3;trocken-fruchtig;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/ancho-chili.png;;0;;0;;;Todo
GE_000006;;Gewürze;Stoff;Andaliman;Zanthoxylum acanthopodium;Sumatra;Szechuan-Verwandter;1;;B4;2;prickelnd, zitrus;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/andaliman.png;;0;;0;;;Todo
GE_000007;;Gewürze;Stoff;Anis;Pimpinella anisum;"Mittelmeer; SW-Asien";;1;;B12;3;Liköre;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/anis.png;;0;;0;;;Todo
GE_000008;;Gewürze;Stoff;Asafoetida;Ferula assa-foetida (Harz);"Iran; Afghanistan; Indien";;1;;B9;3;schwefelig, Umami;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/asafoetida.png;;0;;0;;;Todo
GE_000009;;Gewürze;Stoff;Baharat-Komponentenmix;div. Gewürze;"Levant; Türkei";;1;;B9/B27;2;für Blend;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/baharat-komponentenmix.png;;0;;0;;;Todo
GE_000010;;Gewürze;Stoff;Bird’s Eye Chili;Capsicum frutescens (thai);SE-Asien;;1;;B6;3;hoch scharf;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/birds-eye-chili.png;;0;;0;;;Todo
GE_000011;;Gewürze;Stoff;Bockshornklee-Samen;Trigonella foenum-graecum (Semen);"Indien; Mittelmeer";;1;;B9;4;malzig-bitter;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/bockshornklee-samen.png;;0;;0;;;Todo
GE_000012;;Gewürze;Stoff;Celery Seed;Apium graveolens (Semen);"Europa; USA";;1;;B12;2;selerig-bitter;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/celery-seed.png;;0;;0;;lebensmittelstandard;Todo
GE_000013;;Gewürze;Stoff;Chili Cayenne;Capsicum frutescens;Amerika → global;;1;;B6/B9;4;scharf;;;;;;—;;—;—;—;—;;;0;;;;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/chili-cayenne.png;;0;;0;;;Todo
