STOFF_ID;Stoff_Typ;Name_Botanisch_INCI;Name_DE;Name_EN;Status;Herkunft_Region;Wissen_Tradition;Familie_Botanisch_Tags;Pflanzenteil_Tags;Gewinnung_Tags;Form_Beschaffenheit;Sensorik_Tags;Chemie_Leitsubstanzen;Harmoniert_Mit_Tags;Sicherheit_Kontraindikation;Labels_Qualitaet;Lagerung;Haltbarkeit_Monate;Lieferant_Haupt;Lieferant_ArtNr;Einkaufspreis_Netto;Waehrung;Gebinde_Groesse;Mengeneinheit;Mindestbestand;Zolltarifnummer;Bio_Kontrollstelle;Anwendung_Dosierung;Tipps_Substitution;Platzhalter_Illu;Illu_Prompt_Positiv;Illu_Prompt_Negativ;Illu_Style;Gemini_Comment;Gemini_Comment2;Old_ID_Ref
STOFF-HRB-000001;Kraut;Aloysia citrodora;Zitronenverbene;Lemon Verbena;Active;Südamerika;"Intensivstes Zitrus-Aroma, ""Hierba Luisa"".";Verbenaceae;Blätter;Trocknung;Ganz/Schnitt;zitronig|frisch;Citral;Tee|Fisch|Dessert;Keine;Bio;Dunkel/Trocken;12;;;;;;;;12119086;—;In Milch ziehen lassen;Zitronengras;STOFF-HRB-000001;Ultrarealistisches Foto von getrockneten Zitronenverbene-Blättern, hellgrün, lanzettlich, 8k;keine braunen Blätter|kein Pulver;Foto;;;—
STOFF-HRB-000002;Kraut;Artemisia absinthium;Wermutkraut;Wormwood;Active;Balkan;Bitterstes Kraut, Basis für Absinth.;Asteraceae;Kraut;Trocknung;Geschnitten;extrem bitter;Thujon;Braten|Likör|Tee;Thujon beachten|Schwangerschaft vermeiden;Konventionell;Trocken;24;;;;;;;;12119086;—;Extrem sparsam dosieren!;Beifuß;STOFF-HRB-000002;Ultrarealistisches Foto von getrocknetem Wermutkraut, silbrig-grau-grün, 8k;keine frische Pflanze|kein Getränk;Foto;;;—
STOFF-HRB-000006;Kraut;Anethum graveolens;Dillspitzen;Dill Weed;Active;Deutschland;Fisch- und Gurkenkraut des Nordens.;Apiaceae;Blattspitzen;Gefriertrocknung;Feinschnitt;frisch|anisartig;Carvon;Gurken|Lachs|Joghurt;Keine;Bio;Dunkel;12;;;;;;;;07129090;DE-ÖKO-001;Nicht mitkochen, nur unterheben;Fenchelgrün;STOFF-HRB-000006;Ultrarealistisches Foto von getrockneten Dillspitzen, dunkelgrün, fein, 8k;keine Dillsamen|keine Stiele;Foto;;;—
STOFF-HRB-000007;Kraut;Cymbopogon citratus;Zitronengras;Lemongrass;Active;Thailand;Essenziell für Currypasten.;Poaceae;Stängel;Trocknung;Geschnitten;zitrus|grasig;Citral;Curry|Tee|Suppe;Fasern sind hart;Bio;Trocken;24;;;;;;;;12119086;—;Lange kochen oder fein hacken;Zitronenschale + Ingwer;STOFF-HRB-000007;Ultrarealistisches Foto von getrocknetem Zitronengras-Schnitt, hellbeige-grün, faserig, 8k;keine frischen Stangen;Foto;;;—
STOFF-HRB-000008;Kraut;Ocimum basilicum;Basilikum;Basil;Active;Europa;Klassisches Küchenkraut für Pesto.;Lamiaceae;Blätter;Trocknung;Geschnitten;süßlich|würzig;Linalool;Tomaten|Pasta|Pesto;Keine;—;Trocken/Dunkel;12;;;;;;;;12119086;—;Kurz mitkochen;Oregano oder Petersilie;STOFF-HRB-000008;Ultrarealistisches Foto von getrocknetem Basilikum, grünliche Blattstücke, Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000009;Kraut;Origanum vulgare;Oregano;Oregano;Active;Mittelmeer;Zentrales mediterranes Kraut.;Lamiaceae;Blätter;Trocknung;Gerebelt;kräftig|herb;Carvacrol;Tomate|Pizza|Lamm;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Mitkochen möglich;Majoran;STOFF-HRB-000009;Ultrarealistisches Foto von getrocknetem Oregano, grün-braune gerebelte Blätter, Makro, 8k;kein frisches Kraut;Foto;;;—
STOFF-HRB-000010;Kraut;Thymus vulgaris;Thymian;Thyme;Active;Mittelmeer;Grundaroma der Provence.;Lamiaceae;Blätter;Trocknung;Gerebelt;würzig|harzig;Thymol;Geflügel|Kartoffeln;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Gerebelt mitgaren;Oregano oder Bohnenkraut;STOFF-HRB-000010;Ultrarealistisches Foto von getrocknetem Thymian, kleine Blättchen, Makro, 8k;kein frischer Zweig;Foto;;;—
STOFF-HRB-000011;Kraut;Salvia rosmarinus;Rosmarin;Rosemary;Active;Mittelmeer;Harziges Kraut für Fleisch und Brot.;Lamiaceae;Nadeln;Trocknung;Nadeln;harzig|kiefer;1,8-Cineol;Lamm|Kartoffeln|Wild;Keine;—;Trocken/Dunkel;24;;;;;;;;12119086;—;Sparsam dosieren;Thymian oder Wacholder;STOFF-HRB-000011;Ultrarealistisches Foto von getrockneten Rosmarinnadeln, grau-grün, Makro, 8k;kein frischer Zweig;Foto;;;—
STOFF-HRB-000012;Kraut;Salvia officinalis;Salbei;Sage;Active;Mittelmeer;Bekannt für Tee und Butter.;Lamiaceae;Blätter;Trocknung;Ganz/Schnitt;herb|warm;Thujon;Butter|Kalb|Kürbis;Thujon-haltig;—;Trocken/Dunkel;24;;;;;;;;12119086;—;In Butter auslassen;Rosmarin oder Thymian;STOFF-HRB-000012;Ultrarealistisches Foto von getrockneten Salbeiblättern, silbrig-grün, Makro, 8k;kein frischer Salbei;Foto;;;—
STOFF-HRB-000013;Kraut;Petroselinum crispum;Petersilie (kraus);Parsley;Active;Europa;Universalkraut, getrocknet milder.;Apiaceae;Blätter;Trocknung;Feinschnitt;grün|frisch;Apiol;Suppen|Saucen;Keine;—;Trocken/Dunkel;12;;;;;;;;07129090;—;Am Ende zugeben;Kerbel oder Schnittlauch;STOFF-HRB-000013;Ultrarealistisches Foto von getrockneter Petersilie, feiner grüner Schnitt, Makro, 8k;kein frisches Kraut;Foto;;;—
