Stufe;Kategorie;EntityType;Name;Lateinischer Name/Typ;Parent/Überbegriff;Region-Tags;Band-Refs;Priorität (1–5);Datasheet-Status;Has_Illu;Illu-PlH;Has_QR;QR-PlH;CITES/Regulatory;Notizen;CITES;Cross-Refs;Chemische Gruppe;Regulatorik;Mix_Typ;SensorikProfil;PhysikalischeForm;Has_Variants;Ingredient_List;Ingredient_Unit;Total_Weight;Preparation_Notes;Variant_Refs;Cost_Estimate;Yield_Info;Rezept_Version;Source_Type;Author_Note;Illu_Path;ID_Neu;Rezept_ID
1;Gewürze;Stoff;Ajowan;Trachyspermum ammi;;"Indien; Nahost";B12;3;Todo;0;;0;;;thymolhaltig;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/ajowan.png;GE_000001;
1;Gewürze;Stoff;Aleppo-Chili;Capsicum annuum (Halaby);;Türkei/Syrien;B6;3;Todo;0;;0;;;mild, fruchtig;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/aleppo-chili.png;GE_000002;
1;Gewürze;Stoff;Alligatorpfeffer;Aframomum danielli;;Westafrika;B4/B9;2;Todo;0;;0;;lebensmittelstandard;pfeffrig-kraut;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/alligatorpfeffer.png;GE_000003;
1;Gewürze;Stoff;Amchoor (Mango-Pulver);Mangifera indica (Pulpa, getrocknet);;Indien;B9;3;Todo;0;;0;;lebensmittelstandard;säuerlich-fruchtig;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/amchoor-mango-pulver.png;GE_000004;
1;Gewürze;Stoff;Ancho Chili;Capsicum annuum (Ancho);;Mexiko;B6;3;Todo;0;;0;;;trocken-fruchtig;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/ancho-chili.png;GE_000005;
1;Gewürze;Stoff;Andaliman;Zanthoxylum acanthopodium;Szechuan-Verwandter;Sumatra;B4;2;Todo;0;;0;;;prickelnd, zitrus;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/andaliman.png;GE_000006;
1;Gewürze;Stoff;Anis;Pimpinella anisum;;"Mittelmeer; SW-Asien";B12;3;Todo;0;;0;;;Liköre;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/anis.png;GE_000007;
1;Gewürze;Stoff;Asafoetida;Ferula assa-foetida (Harz);;"Iran; Afghanistan; Indien";B9;3;Todo;0;;0;;;schwefelig, Umami;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/asafoetida.png;GE_000008;
1;Gewürze;Stoff;Baharat-Komponentenmix;div. Gewürze;;"Levant; Türkei";B9/B27;2;Todo;0;;0;;;für Blend;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/baharat-komponentenmix.png;GE_000009;
1;Gewürze;Stoff;Bird’s Eye Chili;Capsicum frutescens (thai);;SE-Asien;B6;3;Todo;0;;0;;;hoch scharf;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/birds-eye-chili.png;GE_000010;
1;Gewürze;Stoff;Bockshornklee-Samen;Trigonella foenum-graecum (Semen);;"Indien; Mittelmeer";B9;4;Todo;0;;0;;;malzig-bitter;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/bockshornklee-samen.png;GE_000011;
1;Gewürze;Stoff;Celery Seed;Apium graveolens (Semen);;"Europa; USA";B12;2;Todo;0;;0;;lebensmittelstandard;selerig-bitter;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/celery-seed.png;GE_000012;
1;Gewürze;Stoff;Chili Cayenne;Capsicum frutescens;;Amerika → global;B6/B9;4;Todo;0;;0;;;scharf;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/chili-cayenne.png;GE_000013;
1;Gewürze;Stoff;Chipotle;Capsicum annuum (geräuchert);;Mexiko;B6;3;Todo;0;;0;;;rauch-scharf;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/chipotle.png;GE_000014;
1;Gewürze;Stoff;Cumin (Schwarzkümmel-Kreuzkümmel);Bunium bulbocastanum;;Mittelmeer;B12;2;Todo;0;;0;;;nicht Nigella;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/cumin-schwarzkuemmel-kreuzkuemmel.png;GE_000015;
1;Gewürze;Stoff;Dillsamen;Anethum graveolens (Semen);;"Europa; Asien";B12;3;Todo;0;;0;;;Pickles;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/dillsamen.png;GE_000016;
1;Gewürze;Stoff;Fenchelsamen;Foeniculum vulgare (Semen);;"Mittelmeer; Asien";B12;4;Todo;0;;0;;;anetholhaltig;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/fenchelsamen.png;GE_000017;
1;Gewürze;Stoff;Galgant;Alpinia galanga;;SE-Asien;B7;4;Todo;0;;0;;;Cineol/Eugenol;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/galgant.png;GE_000018;
1;Gewürze;Stoff;Grains of Selim;Xylopia aethiopica;;Westafrika;B9;3;Todo;0;;0;;lebensmittelstandard;pfeffrig-rauchig;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/grains-of-selim.png;GE_000019;
1;Gewürze;Stoff;Grüner Pfeffer;Piper nigrum;;"Indien; Tropen";B4;4;Todo;0;;0;;;frisch eingelegt/trocken;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/gruener-pfeffer.png;GE_000020;
1;Gewürze;Stoff;Guajillo Chili;Capsicum annuum (Guajillo);;Mexiko;B6;3;Todo;0;;0;;;beerig;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/guajillo-chili.png;GE_000021;
1;Gewürze;Stoff;Habanero;Capsicum chinense;;Karibik;B6;3;Todo;0;;0;;;sehr scharf, fruchtig;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/habanero.png;GE_000022;
1;Gewürze;Stoff;Ingwer;Zingiber officinale;;"Indien; China";B7;5;Todo;0;;0;;;Gingerole;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/ingwer.png;GE_000023;
1;Gewürze;Stoff;Javanischer Langer Pfeffer;Piper retrofractum;Langer Pfeffer;Indonesien;B4;3;Todo;0;;0;;lebensmittelstandard;süß-warm;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/javanischer-langer-pfeffer.png;GE_000024;
1;Gewürze;Stoff;Kaffeegewürz (Kardamom);Elettaria cardamomum (für Kaffee);Kardamom (Grün);Arabische Halbinsel;B9;2;Todo;0;;0;;lebensmittelstandard;kaffee-aroma;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kaffeegewuerz-kardamom.png;GE_000025;
1;Gewürze;Stoff;Kaffirlimettenblatt;Citrus hystrix (Blatt);;SE-Asien;B11;3;Todo;0;;0;;;zitronig;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kaffirlimettenblatt.png;GE_000026;
1;Gewürze;Stoff;Kampferlorbeer (Lorbeer);Laurus nobilis (Blatt);;Mittelmeer;B10;4;Todo;0;;0;;;klassisches Blattgewürz;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kampferlorbeer-lorbeer.png;GE_000027;
1;Gewürze;Stoff;Kampotpfeffer;Piper nigrum (GI);Schwarzer Pfeffer;Kambodscha;B4;3;Todo;0;;0;;;g.g.A.;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kampotpfeffer.png;GE_000028;
1;Gewürze;Stoff;Kardamom (Grün);Elettaria cardamomum;;"Indien; Guatemala";B9;5;Todo;0;;0;;;süß-frisch;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kardamom-gruen.png;GE_000029;
1;Gewürze;Stoff;Kardamom (Schwarz);Amomum subulatum;;Himalaya;B9;3;Todo;0;;0;;;rauchig;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/kardamom-schwarz.png;GE_000030;
1;Gewürze;Stoff;Koriandersamen;Coriandrum sativum (Semen);;"Mittelmeer; Asien";B12;4;Todo;0;;0;;;zitronig-warm;;;;;;;;0;;;;;;—;—;—;—;—;EinLexikonDerAromen-DuefteDerWelt/assets/img/stoffe/gewuerze/koriandersamen.png;GE_000031;
