Rezept_ID;Parent_Name;Detail_ID;Variant_Name;Ingredient_List;Ingredient_Unit;Total_Weight;Preparation_Notes;SensorikProfil;PhysikalischeForm;Mix_Typ;Region_Tag;Source;Status;Cost_Estimate;Yield_Info;Rezept_Version;Source_Type;Author_Note;Illu_Path;Illu_Variant_Path;Parent_ID_Neu;Parent_Mix
ME_000001-ORG-1;Advieh (Persien);ORG-1;🟩;Zimt (gemahlen)|20|20||Kardamom (gemahlen)|15|15||Kreuzkümmel (gemahlen)|15|15||Koriandersamen (gemahlen)|10|10||Schwarzer Pfeffer (gemahlen)|10|10||Rosenblüten (getrocknet, gem.)|10|10||Kurkuma (gemahlen)|8|8||Nelken (gemahlen)|4|4||Muskatnuss (gemahlen)|3|3||Salz (optional)|5|5;g|%;100;Gewürze (ohne Rosen) kurz trocken rösten, abkühlen und mit Rosen fein mahlen. Luftdicht lagern.;;;;Persien / Iran;The Delicious Crescent — Advieh (Persian Spice Mix) — https://www.thedeliciouscrescent.com/advieh-persian-spice-mix/;aktiv;;;;Primärquelle;;;;ME_000001;
ME_000002-ORG-1;Advieh (Reis);ORG-1;🟩;Zimt (gemahlen)|30|30||Kardamom (gemahlen)|25|25||Kreuzkümmel (gemahlen)|15|15||Rosenblüten (getrocknet, gem.)|15|15||Schwarzer Pfeffer (gemahlen)|10|10||Muskatnuss (gemahlen)|5|5;g|%;100;"Alle Gewürze fein mahlen; klassisch beim Reisgaren direkt in den Topf geben.";;;;Persien / Iran;Silk Road Recipes — Persian Rice Spice (Advieh Polo);aktiv;;;;Primärquelle;;;;ME_000002;
ME_000003-ORG-1;Baharat;ORG-1;🟩;Schwarzer Pfeffer (gem.)|20|20||Koriandersamen (gem.)|15|15||Kreuzkümmel (gem.)|15|15||Paprika edelsüß|15|15||Zimt (gem.)|10|10||Kardamom (gem.)|10|10||Muskat (gem.)|5|5||Nelken (gem.)|10|10;g|%;100;"Gewürze (ohne Paprika) trocken rösten, abkühlen, mahlen; Paprika untermischen.";S4;P1;M1;Nahost;The Spruce Eats — Baharat Spice Mix;aktiv;;;;Primärquelle;;;;ME_000003;
ME_000004-ORG-1;BBQ Rub (classic);ORG-1;🟩;Paprika edelsüß|25|25||Brauner Zucker|20|20||Salz|15|15||Schwarzer Pfeffer (gem.)|10|10||Knoblauchpulver|8|8||Zwiebelpulver|8|8||Chilipulver|8|8||Kreuzkümmel (gem.)|6|6;g|%;100;"Alle Zutaten gründlich vermengen; trocken als Rub verwenden.";;;;Nordamerika;Serious Eats — All-Purpose Dry Rub — https://www.seriouseats.com/all-purpose-dry-rub-recipe;aktiv;;;;Primärquelle;;;;ME_000004;
ME_000005-ORG-1;Berbere;ORG-1;🟩;Chili getrocknet (gem.)|25|25||Paprika|10|10||Ingwer (gem.)|10|10||Bockshornklee (gem.)|8|8||Koriandersamen (gem.)|10|10||Kreuzkümmel (gem.)|8|8||Zimt (gem.)|8|8||Nelken (gem.)|4|4||Kardamom (gem.)|7|7||Schwarzer Pfeffer (gem.)|10|10;g|%;100;"Gewürze (ohne Paprika) rösten, mahlen; Paprika zum Schluss einarbeiten.";S4;;M1;Äthiopien / Eritrea;"Wikipedia EN — Berbere; The Spruce Eats — Berbere Spice Blend";aktiv;;;;Primärquelle;;;;ME_000005;
ME_000006-ORG-1;Bouquet Garni (Basis);ORG-1;🟩;Petersilie (getr., gem.)|40|40||Thymian (getr.)|30|30||Lorbeer (zerbröselt)|20|20||Lauch (getr., gem.)|10|10;g|%;100;"Klassisch als Bündel mit frischen Kräutern; hier trockene Grundmischung für Sud/Eintopf.";;;;Frankreich;BBC Good Food — Bouquet garni guide;aktiv;;;;Primärquelle;;;;ME_000006;
ME_000007-ORG-1;Bumbu Bali (Basis);ORG-1;🟩;Schalotten|25|25||Knoblauch|10|10||Rote Chilies|20|20||Galgant|8|8||Ingwer|8|8||Kurkuma|6|6||Kemirinüsse (Candlenuts)|8|8||Shrimp-Paste (Terasi)|5|5||Palmzucker|5|5||Salz|5|5;g|%;100;"Zu Paste mörsern/pürieren; optional kurz anrösten und mit Öl lösen.";S4;;;Indonesien (Bali);TasteAtlas — Base Gede (Balinese Spice Paste);aktiv;;;;Primärquelle;;;;ME_000007;
ME_000008-ORG-1;Cajun Rub;ORG-1;🟩;Paprika|25|25||Salz|18|18||Knoblauchpulver|10|10||Zwiebelpulver|10|10||Oregano (getr.)|8|8||Thymian (getr.)|7|7||Cayenne (gem.)|10|10||Schwarzer Pfeffer (gem.)|12|12;g|%;100;"Alles mischen; trocken verwenden.";;P1;M1;Louisiana (USA);Serious Eats — Homemade Cajun Seasoning;aktiv;;;;Primärquelle;;;;ME_000008;
ME_000009-ORG-1;Chaat Masala;ORG-1;🟩;Amchur (Mango, gem.)|25|25||Kala Namak (Schwarzsalz)|20|20||Gerösteter Kreuzkümmel (gem.)|20|20||Koriandersamen (gem.)|12|12||Schwarzer Pfeffer (gem.)|8|8||Chilipulver|8|8||Asafoetida (Prise)|1|1||Ingwer (gem.)|6|6;g|%;100;Kreuzkümmel rösten, fein mahlen, mischen.;S4;P1;M1;Nordindien;"Wikipedia EN — Chaat Masala; The Spruce Eats — Chaat Masala";aktiv;;;;Primärquelle;;;;ME_000009;
ME_000010-ORG-1;Chaat Masala (erweitert);ORG-1;🟩;Amchur (Mango, gem.)|20|20||Kala Namak (Schwarzsalz)|18|18||Gerösteter Kreuzkümmel (gem.)|16|16||Koriandersamen (gem.)|12|12||Schwarzer Pfeffer (gem.)|8|8||Chilipulver|8|8||Minze (getr., gem.)|8|8||Ingwer (gem.)|5|5||Ajwain (gem.)|5|5;g|%;100;Kreuzkümmel rösten, alles fein mahlen, mischen.;S4;P1;M1;Nordindien;Serious Eats — Chat Masala;aktiv;;;;Primärquelle;;;;ME_000010;
ME_000011-ORG-1;Chai Masala;ORG-1;🟩;Kardamom (grün, gem.)|30|30||Ingwer (gem.)|20|20||Zimt (gem.)|20|20||Schwarzer Pfeffer (gem.)|15|15||Nelken (gem.)|10|10||Sternanis (gem.)|3|3||Muskat (gem.)|2|2;g|%;100;"Alle Gewürze fein mahlen; frisch verwenden oder luftdicht lagern.";;;;Indien;Masala & Chai — Chai Masala Spice Blend — https://masalaandchai.com/chai-masala-spice-blend/;aktiv;;;;Primärquelle;;;;ME_000011;
