Rezept_ID;Parent_Name;Detail_ID;Variant_Name;Ingredient_List;Ingredient_Unit;Total_Weight;Preparation_Notes;SensorikProfil;PhysikalischeForm;Mix_Typ;Region_Tag;Source;Status;Cost_Estimate;Yield_Info;Rezept_Version;Source_Type;Author_Note;Unnamed: 21;Illu_Path;Illu_Variant_Path
Rezept-0043;Garam Masala;Var-9;Nordindisch (klassisch);Kreuzkümmel 25 %, Koriander 20 %, Schwarzer Kardamom 10 %, Zimt 10 %, Nelke 8 %, Pfeffer 8 %, Muskat 5 %, Lorbeer 3 %, Fenchel 3 %, Sternanis 2 %, Chili 6 %;%;100 %;Trockenröstung, fein mahlen.;S4;P1;M1;Nordindien;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala__nordindisch-klassisch.png
Rezept-0044;Garam Masala;Var-10;Pandjabi (kühl-warm);Kreuzkümmel 24 %, Koriander 22 %, Pfeffer 10 %, Zimt 10 %, Nelke 8 %, Grüner Kardamom 8 %, Schwarzer Kardamom 6 %, Muskat 4 %, Lorbeer 4 %, Fenchel 4 %;%;100 %;"Ohne Chili; dafür pfeffriger.";S4;P1;M1;Punjab;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala__pandjabi-kuehl-warm.png
Rezept-0045;Garam Masala;Var-11;Bengal (duftend);Koriander 24 %, Kreuzkümmel 18 %, Fenchel 14 %, Kardamom 10 %, Zimt 10 %, Nelke 6 %, Pfeffer 6 %, Muskat 4 %, Lorbeer 4 %, Sternanis 4 %;%;100 %;Fenchelig, Duftbetonung.;S4;P1;M1;Bengalen;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala__bengal-duftend.png
Rezept-0046;Garam Masala;Var-12;Kashmiri (rot);Kreuzkümmel 20 %, Koriander 18 %, Fenchel 14 %, Zimt 10 %, Kardamom 8 %, Nelke 6 %, Muskat 4 %, Pfeffer 6 %, Chili (Kashmiri) 14 %;%;100 %;Rotton durch Kashmiri Chili.;S4;P1;M1;Kashmir;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/garam-masala__kashmiri-rot.png
Rezept-0035;Ras el Hanout;Var-1;Marokkanisch (klassisch);Koriander 20 %, Kreuzkümmel 12 %, Zimt 10 %, Ingwer 8 %, Kurkuma 8 %, Schwarzer Pfeffer 7 %, Kardamom 6 %, Nelke 4 %, Muskat 3 %, Piment 3 %, Galgant 3 %, Rosenblüten 3 %, Chili 2 %, Lavendel 1 %;%;100 %;Trocken rösten, fein mahlen.;S4;P1;M1;Marokko;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout__marokkanisch-klassisch.png
Rezept-0036;Ras el Hanout;Var-2;Fès (floral);Koriander 18 %, Kreuzkümmel 12 %, Zimt 10 %, Ingwer 8 %, Kardamom 7 %, Pfeffer 6 %, Muskat 4 %, Nelke 3 %, Piment 3 %, Galgant 3 %, Rosenblüten 10 %, Lavendel 6 %, Chili 6 %;%;100 %;Floraler Akzent (Rosen/Lavendel).;S4;P1;M1;Fès;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout__fes-floral.png
Rezept-0037;Ras el Hanout;Var-3;Meknès (erdig);Koriander 22 %, Kreuzkümmel 14 %, Kurkuma 10 %, Zimt 8 %, Ingwer 8 %, Pfeffer 8 %, Piment 6 %, Fenchel 6 %, Nelke 4 %, Muskat 4 %, Galgant 4 %, Chili 6 %;%;100 %;Erdig-warm, chili-betont.;S4;P1;M1;Meknès;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout__meknes-erdig.png
Rezept-0038;Ras el Hanout;Var-4;Souss (scharf);Koriander 20 %, Kreuzkümmel 12 %, Chili 14 %, Pfeffer 10 %, Ingwer 10 %, Kurkuma 8 %, Zimt 8 %, Nelke 5 %, Muskat 5 %, Kardamom 4 %, Piment 4 %;%;100 %;Scharfe Variante aus dem Süden.;S4;P1;M1;Souss;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/ras-el-hanout__souss-scharf.png
Rezept-0039;Baharat;Var-5;Levant (klassisch);Piment 20 %, Pfeffer 18 %, Kreuzkümmel 16 %, Koriander 12 %, Zimt 10 %, Nelke 8 %, Kardamom 8 %, Muskat 8 %;%;100 %;Fein mahlen, ausgewogen.;S4;P1;M1;Levant;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/baharat.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/baharat__levant-klassisch.png
Rezept-0040;Baharat;Var-6;Gulf (mit getr. Limette);Piment 18 %, Pfeffer 16 %, Kreuzkümmel 16 %, Koriander 10 %, Zimt 8 %, Nelke 8 %, Kardamom 8 %, Muskat 8 %, Getrocknete Limette 8 %;%;100 %;Loomi (schwarze Limette) charakteristisch.;S4;P1;M1;Golf;Variants_v2;Bestätigt;—;—;v1.1;—;—;;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/baharat.png;EinLexikonDerAromen-DuefteDerWelt/assets/img/mischungen/gewuerzmischungen/baharat__gulf-mit-getr-limette.png
